,SEM_TT,fami_estratovivienda,estu_genero,punt_c_naturales,punt_lectura_critica,punt_matematicas,punt_sociales_ciudadanas,punt_ingles,estu_cod_reside_mcpio,cole_cod_mcpio_ubicacion,estu_cod_mcpio_presentacion,PUNT_TOTAL
69,20162,Estrato 2,M,54.302790241166576,53.59575387922976,53.85948308094971,52.2980814170873,53.341372219106375,31038.14021312395,31036.625595905778,31035.296492335016,267.3974808375397
70,20162,Estrato 3,,39.0,40.0,38.0,36.0,47.0,11001.0,11001.0,11001.0,200.0
71,20162,Estrato 3,F,55.975640910720685,56.78354697024023,54.15948816780208,54.77272319827895,57.72104697024023,25425.678334528504,25550.292488347077,25405.25493008247,279.4124462172822
72,20162,Estrato 3,M,57.192948441763605,56.60878931495045,57.27813681842118,55.99250801857437,58.550600794676626,25637.183038920004,25786.210756857676,25613.039997127675,285.6229833883862
73,20162,Estrato 4,F,61.055349268971916,61.613367370619635,60.2461127871896,60.3249013692272,67.17730331863541,26440.522975168253,26699.940705500117,26437.26688326758,310.41703411464374
74,20162,Estrato 4,M,61.62835112692764,60.633689205219454,62.49774614472123,61.009608540925264,66.44780545670226,26992.518386714117,27294.526334519574,26971.37841043891,312.2172004744958
75,20162,Estrato 5,F,62.26088646967341,62.87791601866252,61.91407465007776,61.84836702954899,70.50194401244168,24052.17962674961,24243.274105754277,24061.92768273717,319.40318818040436
76,20162,Estrato 5,M,63.228992433293506,61.932297889287135,64.45320589406612,62.90959776981283,70.05376344086021,23570.728793309438,23743.600955794504,23567.10553564317,322.57785742731977
77,20162,Estrato 6,F,63.64753272910372,63.92648539778449,63.76334340382679,63.26888217522659,73.9607250755287,24143.973816717018,23983.412890231622,24159.76233635448,328.5669687814703
78,20162,Estrato 6,M,63.856404958677686,62.28305785123967,65.40702479338843,63.3698347107438,72.66838842975207,24018.224173553717,24087.01756198347,24056.796487603307,327.5847107438017
79,20171,,F,57.90449438202247,60.98876404494382,57.264044943820224,58.69101123595506,66.02808988764045,54444.83707865168,54643.37640449438,54345.57865168539,300.87640449438203
80,20171,,M,57.34239130434783,58.93478260869565,59.14673913043478,58.59782608695652,64.44565217391305,53503.35326086957,54063.67934782609,53708.885869565216,298.4673913043478
81,20171,Estrato 1,F,55.94444444444444,57.69047619047619,54.8968253968254,55.57936507936508,55.5,61375.48412698413,61379.18253968254,61368.531746031746,279.6111111111111
82,20171,Estrato 1,M,56.80952380952381,56.67460317460318,57.07142857142857,56.023809523809526,55.26984126984127,58861.0,59444.142857142855,58894.25396825397,281.8492063492063
83,20171,Estrato 2,F,56.40327868852459,57.265573770491805,54.0,55.040983606557376,55.6672131147541,68094.40327868852,68272.61803278688,68056.41639344262,278.37704918032784
84,20171,Estrato 2,M,57.87678571428572,57.48392857142857,57.22857142857143,56.56071428571428,55.90892857142857,66429.34642857143,66700.19464285714,66499.975,285.05892857142857
